#SampleID	Cow_ID	Class	TRT	Class_TRT	Site	Cycling	P4	OBS
JM168	Cow_3162	METRITIS	NO_TRT	METRITIS_NO_TRT	D7	1	4.311404992	GOOD
JM169	Cow_3162	METRITIS	NO_TRT	METRITIS_NO_TRT	External	1	4.311404992	GOOD
JM170	Cow_3162	METRITIS	NO_TRT	METRITIS_NO_TRT	Gravid_horn	1	4.311404992	GOOD
JM171	Cow_3162	METRITIS	NO_TRT	METRITIS_NO_TRT	Non-Gravid_horn	1	4.311404992	GOOD
JM172	Cow_3243	METRITIS	EXCENEL	METRITIS_EXCENEL	D7	0	0.001	GOOD
JM173	Cow_3243	METRITIS	EXCENEL	METRITIS_EXCENEL	External	0	0.001	GOOD
JM174	Cow_3243	METRITIS	EXCENEL	METRITIS_EXCENEL	Gravid_horn	0	0.001	GOOD
JM175	Cow_3243	METRITIS	EXCENEL	METRITIS_EXCENEL	Non-Gravid_horn	0	0.001	GOOD
JM176	Cow_3257	HEALTHY	EXCENEL	HEALTHY_EXCENEL	D7	1	3.543198128	PUS
JM177	Cow_3257	HEALTHY	EXCENEL	HEALTHY_EXCENEL	External	1	3.543198128	PUS
JM178	Cow_3257	HEALTHY	EXCENEL	HEALTHY_EXCENEL	Gravid_horn	1	3.543198128	PUS
JM179	Cow_3257	HEALTHY	EXCENEL	HEALTHY_EXCENEL	Non-Gravid_horn	1	3.543198128	PUS
JM156	Cow_3274	HEALTHY	NO_TRT	HEALTHY_NO_TRT	D7	1	2.684857841	GOOD
JM157	Cow_3274	HEALTHY	NO_TRT	HEALTHY_NO_TRT	External	1	2.684857841	GOOD
JM158	Cow_3274	HEALTHY	NO_TRT	HEALTHY_NO_TRT	Gravid_horn	1	2.684857841	GOOD
JM159	Cow_3274	HEALTHY	NO_TRT	HEALTHY_NO_TRT	Non-Gravid_horn	1	2.684857841	GOOD
JM204	Cow_3309	HEALTHY	EXCENEL	HEALTHY_EXCENEL	D7	0	0.001	PUS
JM205	Cow_3309	HEALTHY	EXCENEL	HEALTHY_EXCENEL	External	0	0.001	PUS
